City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
Alice Springs,AU,-23.7,133.88,41.0,80,10,3.36,clear sky,0,0
Punta Arenas,CL,-53.15,-70.92,42.8,93,90,11.41,mist,0,0
Klaksvik,FO,62.23,-6.59,46.4,93,100,13.87,drizzle,0,0
Puerto Ayora,EC,-0.74,-90.35,80.6,65,40,14.99,scattered clouds,0,0
Los Llanos De Aridane,ES,28.66,-17.92,77.0,78,75,11.41,broken clouds,0,0
Hithadhoo,MV,-0.6,73.08,84.06,71,96,6.26,overcast clouds,0,0
Kalangala,UG,-0.31,32.23,71.6,83,20,9.17,few clouds,0,0
Mataura,NZ,-46.19,168.86,44.62,95,99,1.12,overcast clouds,0,0
Albany,US,42.6,-73.97,78.8,24,40,10.29,scattered clouds,0,0
Butaritari,KI,3.07,172.79,83.01,75,88,8.21,overcast clouds,0,0
Barentu,ER,15.11,37.59,87.58,25,28,8.75,scattered clouds,0,0
Dikson,RU,73.51,80.55,27.63,98,1,5.82,clear sky,0,0
Rikitea,PF,-23.12,-134.97,71.24,69,77,25.26,broken clouds,0,0
Jamestown,US,42.1,-79.24,81.0,54,40,9.17,scattered clouds,0,0
Luderitz,NA,-26.65,15.16,55.4,100,0,4.7,clear sky,0,0
Ushuaia,AR,-54.8,-68.3,44.6,65,75,5.82,broken clouds,0,0
Hermanus,ZA,-34.42,19.23,61.0,76,100,1.01,overcast clouds,0,0
Bluff,NZ,-46.6,168.33,50.81,91,87,10.63,overcast clouds,0,0
Clyde River,CA,70.47,-68.59,28.4,79,90,12.75,overcast clouds,0,0
Bredasdorp,ZA,-34.53,20.04,59.0,67,100,6.93,overcast clouds,0,0
Lebu,CL,-37.62,-73.65,59.95,94,98,3.11,overcast clouds,0,0
Khatanga,RU,71.97,102.5,50.0,81,100,7.27,overcast clouds,0,0
Iquitos,PE,-3.75,-73.25,84.2,70,75,9.17,broken clouds,0,0
Norman Wells,CA,65.28,-126.83,57.2,47,40,18.34,scattered clouds,0,0
Ancud,CL,-41.87,-73.82,53.6,76,75,5.82,broken clouds,0,0
Palaikastron,GR,35.2,26.25,69.01,37,0,15.01,clear sky,0,0
Cape Town,ZA,-33.93,18.42,63.0,82,20,10.29,few clouds,0,0
Vaini,TO,-21.2,-175.2,68.0,88,40,3.36,scattered clouds,0,0
Kapaa,US,22.08,-159.32,82.99,74,1,4.7,clear sky,0,0
Yellowknife,CA,62.46,-114.35,44.6,48,20,4.7,few clouds,0,0
Bambous Virieux,MU,-20.34,57.76,69.8,88,75,10.38,shower rain,0,0
Vardo,NO,70.37,31.11,48.2,65,57,4.7,broken clouds,0,0
General Roca,AR,-39.03,-67.58,77.0,22,99,20.8,overcast clouds,0,0
New Norfolk,AU,-42.78,147.06,46.0,79,8,1.99,clear sky,0,0
Georgetown,MY,5.41,100.34,78.8,100,20,3.36,few clouds,0,0
Shelopugino,RU,51.65,117.56,39.33,76,45,1.92,scattered clouds,0,0
Vila Franca Do Campo,PT,37.72,-25.43,68.0,82,20,12.75,few clouds,0,0
Doctor Juan Leon Mallorquin,PY,-25.4,-55.27,62.6,55,75,3.36,broken clouds,0,0
Saskylakh,RU,71.92,114.08,46.85,93,100,3.24,light rain,0,0
Port Hawkesbury,CA,45.62,-61.35,60.01,24,1,12.75,clear sky,0,0
Trairi,BR,-3.28,-39.27,82.31,81,0,7.56,clear sky,0,0
Iqaluit,CA,63.75,-68.51,28.4,63,75,3.36,broken clouds,0,0
Mount Gambier,AU,-37.83,140.77,44.6,100,90,5.82,light intensity shower rain,0,0
Kudahuvadhoo,MV,2.67,72.89,84.67,78,100,16.44,overcast clouds,0,0
Fort Nelson,CA,58.81,-122.7,68.0,34,75,9.17,broken clouds,0,0
Pevek,RU,69.7,170.31,27.88,94,97,2.17,overcast clouds,0,0
San Patricio,MX,19.22,-104.7,82.4,83,40,11.41,scattered clouds,0,0
Lorengau,PG,-2.02,147.27,81.14,76,92,1.61,overcast clouds,0,0
Lompoc,US,34.64,-120.46,71.01,63,1,10.29,clear sky,0,0
Qaanaaq,GL,77.48,-69.36,32.68,90,0,0.74,clear sky,0,0
Portland,US,45.52,-122.68,68.0,45,75,3.36,broken clouds,0,0
Sapouy,BF,11.55,-1.77,88.39,41,14,1.77,few clouds,0,0
Bantou,CN,26.22,117.49,71.65,87,13,1.81,few clouds,0,0
Cabo San Lucas,MX,22.89,-109.91,86.0,37,5,8.05,clear sky,0,0
Kodiak,US,57.79,-152.41,51.8,53,40,9.17,scattered clouds,0,0
Constitucion,CL,-35.33,-72.42,67.41,65,5,13.94,clear sky,0,0
Saint-Philippe,RE,-21.36,55.77,69.8,68,20,5.82,few clouds,0,0
Sept-Iles,CA,50.2,-66.38,57.2,20,75,12.75,broken clouds,0,0
Malartic,CA,48.13,-78.13,73.4,40,75,5.82,broken clouds,0,0
Busselton,AU,-33.65,115.33,62.01,73,100,35.77,moderate rain,0,0
Rena,NO,61.13,11.36,41.0,91,81,3.13,light rain,0,0
Gizeh,EG,30.01,31.21,69.8,40,0,14.99,clear sky,0,0
Boca Del Monte,MX,19.15,-96.82,91.0,62,40,10.29,scattered clouds,0,0
Bengkulu,ID,-3.8,102.27,77.74,83,99,4.56,overcast clouds,0,0
Arraial Do Cabo,BR,-22.97,-42.03,68.0,94,75,11.41,light rain,0,0
Adrar,MR,20.5,-10.07,93.33,11,0,10.54,clear sky,0,0
Tres Lagoas,BR,-20.75,-51.68,65.71,65,2,4.56,clear sky,0,0
Castro,BR,-24.79,-50.01,55.74,78,98,2.93,overcast clouds,0,0
Buala,SB,-8.14,159.59,80.73,80,100,3.15,overcast clouds,0,0
Conde,BR,-7.26,-34.91,80.6,83,75,3.36,broken clouds,0,0
Qasigiannguit,GL,68.82,-51.19,35.6,80,100,2.24,light intensity shower rain,0,0
Nanortalik,GL,60.14,-45.24,42.3,77,30,4.85,scattered clouds,0,0
Sao Filipe,CV,14.9,-24.5,75.67,69,0,3.0,clear sky,0,0
Lavrentiya,RU,65.58,-171.0,33.62,92,48,7.07,scattered clouds,0,0
Barrow,US,71.29,-156.79,30.2,92,20,13.87,few clouds,0,0
Shimanovsk,RU,52.0,127.7,45.57,55,98,8.16,overcast clouds,0,0
Port Lincoln,AU,-34.73,135.87,51.4,73,56,5.73,broken clouds,0,0
Tiksi,RU,71.69,128.87,39.09,96,100,6.22,overcast clouds,0,0
Melfi,IT,41.0,15.65,68.0,77,75,13.87,shower rain,0,0
Cascavel,BR,-24.96,-53.46,55.13,78,81,5.1,broken clouds,0,0
Cherskiy,RU,68.75,161.3,33.26,82,0,3.96,clear sky,0,0
Jishu,CN,44.32,126.8,43.48,81,0,7.47,clear sky,0,0
Nakhon Si Thammarat,TH,8.43,99.97,78.48,86,100,3.78,overcast clouds,0,0
Nizhniy Odes,RU,63.64,54.86,38.03,77,0,4.97,clear sky,0,0
Hino,JP,35.67,139.4,66.99,82,90,3.49,overcast clouds,0,0
Zhigansk,RU,66.77,123.37,55.63,50,100,11.48,overcast clouds,0,0
Pasighat,IN,28.07,95.33,72.93,86,100,1.81,moderate rain,0,0
Atuona,PF,-9.8,-139.03,80.71,78,22,14.56,light rain,0,0
Burgersdorp,ZA,-31.0,26.33,51.64,46,35,5.91,scattered clouds,0,0
Juneau,US,58.3,-134.42,51.8,81,90,6.93,moderate rain,0,0
Cabedelo,BR,-6.98,-34.83,80.6,83,75,3.36,broken clouds,0,0
Torbay,CA,47.67,-52.73,52.0,60,20,14.99,few clouds,0,0
