City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Puerto Ayora,EC,80.6,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
Los Llanos De Aridane,ES,77.0,broken clouds,28.66,-17.92,Valle Aridane
Hithadhoo,MV,84.06,overcast clouds,-0.6,73.08,Scoop Guest House
Kalangala,UG,71.6,few clouds,-0.31,32.23,Ssese Habitat Resort
Albany,US,78.8,scattered clouds,42.6,-73.97,
Butaritari,KI,83.01,overcast clouds,3.07,172.79,Isles Sunset Lodge
Barentu,ER,87.58,scattered clouds,15.11,37.59,
Rikitea,PF,71.24,broken clouds,-23.12,-134.97,Pension Maro'i
Jamestown,US,81.0,scattered clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
Iquitos,PE,84.2,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
Kapaa,US,82.99,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
General Roca,AR,77.0,overcast clouds,-39.03,-67.58,Hotel El Recreo
Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
Trairi,BR,82.31,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
Kudahuvadhoo,MV,84.67,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
San Patricio,MX,82.4,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
Lorengau,PG,81.14,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
Lompoc,US,71.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
Sapouy,BF,88.39,few clouds,11.55,-1.77,Auberge St Louis
Bantou,CN,71.65,few clouds,26.22,117.49,
Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Malartic,CA,73.4,broken clouds,48.13,-78.13,Camping Regional De Malartic
Boca Del Monte,MX,91.0,scattered clouds,19.15,-96.82,La casa de la choma
Bengkulu,ID,77.74,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
Adrar,MR,93.33,clear sky,20.5,-10.07,
Buala,SB,80.73,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
Conde,BR,80.6,broken clouds,-7.26,-34.91,Pousada Beija Flor
Sao Filipe,CV,75.67,clear sky,14.9,-24.5,Tortuga B&B
Nakhon Si Thammarat,TH,78.48,overcast clouds,8.43,99.97,โรงแรมช่อลดา
