City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cervo,ES,2020-05-23 00:22:20,43.67,-7.41,59.0,1,88,5.01
1,New Norfolk,AU,2020-05-23 00:22:20,-42.78,147.06,46.0,92,48,2.33
2,Kita,ML,2020-05-23 00:22:20,13.03,-9.49,91.0,22,50,2.48
3,Ust-Nera,RU,2020-05-23 00:22:20,64.57,143.2,42.13,63,96,4.94
4,Amapa,BR,2020-05-23 00:22:20,1.0,-52.0,73.8,97,86,2.44
5,Port Elizabeth,ZA,2020-05-23 00:25:32,-33.92,25.57,55.4,100,30,6.93
6,Mataura,NZ,2020-05-23 00:25:33,-46.19,168.86,52.56,73,11,3.42
7,Porbandar,IN,2020-05-23 00:22:21,21.64,69.61,81.79,83,0,11.77
8,Sterling,US,2020-05-23 00:22:21,39.01,-77.43,70.0,77,75,4.7
9,Zhaodong,CN,2020-05-23 00:25:33,46.08,125.98,57.2,93,75,4.47
10,Jurm,AF,2020-05-23 00:25:33,36.86,70.83,57.07,56,11,1.34
11,Lebu,CL,2020-05-23 00:25:34,-37.62,-73.65,51.1,72,81,8.48
12,Hobart,AU,2020-05-23 00:25:34,-42.88,147.33,48.0,81,75,10.29
13,Hermanus,ZA,2020-05-23 00:22:22,-34.42,19.23,55.99,80,3,5.01
14,East London,ZA,2020-05-23 00:25:34,-33.02,27.91,67.15,61,0,12.5
15,Hilo,US,2020-05-23 00:22:23,19.73,-155.09,80.6,57,90,3.36
16,Mount Isa,AU,2020-05-23 00:22:23,-20.73,139.5,53.6,54,2,16.11
17,Punta Arenas,CL,2020-05-23 00:22:23,-53.15,-70.92,46.4,81,75,12.75
18,Alekseyevsk,RU,2020-05-23 00:22:23,57.84,108.35,63.79,41,0,3.06
19,Dikson,RU,2020-05-23 00:22:24,73.51,80.55,38.16,100,100,3.29
20,Vaini,TO,2020-05-23 00:22:24,-21.2,-175.2,78.8,69,20,8.05
21,Zhenlai,CN,2020-05-23 00:22:24,45.85,123.3,57.0,67,100,3.0
22,Airai,TL,2020-05-23 00:22:24,-8.93,125.41,64.94,100,84,2.71
23,Muros,ES,2020-05-23 00:22:24,42.78,-9.06,57.99,84,28,1.01
24,Yellowknife,CA,2020-05-23 00:22:25,62.46,-114.35,53.6,46,75,12.75
25,Oshogbo,NG,2020-05-23 00:22:25,7.77,4.57,73.11,98,98,4.88
26,Pangai,TO,2020-05-23 00:22:25,-19.8,-174.35,80.6,65,75,8.05
27,Petropavl,KZ,2020-05-23 00:22:25,54.88,69.16,55.4,87,100,8.95
28,Komatipoort,ZA,2020-05-23 00:22:26,-25.43,31.95,54.0,93,0,2.68
29,Half Moon Bay,US,2020-05-23 00:20:30,37.46,-122.43,73.99,71,1,18.34
30,Ushuaia,AR,2020-05-23 00:22:27,-54.8,-68.3,48.2,61,90,11.41
31,Omboue,GA,2020-05-23 00:22:27,-1.57,9.26,78.33,90,31,4.72
32,Rikitea,PF,2020-05-23 00:22:27,-23.12,-134.97,71.04,67,94,20.18
33,Swan Hill,AU,2020-05-23 00:22:28,-35.34,143.55,53.65,75,47,9.44
34,College,US,2020-05-23 00:22:28,64.86,-147.8,66.99,31,90,5.82
35,Beringovskiy,RU,2020-05-23 00:22:28,63.05,179.32,32.59,97,100,13.38
36,Samarai,PG,2020-05-23 00:22:29,-10.62,150.67,81.63,82,87,9.57
37,Aleksandrov Gay,RU,2020-05-23 00:22:29,50.15,48.57,52.61,95,99,8.66
38,Cape Town,ZA,2020-05-23 00:20:18,-33.93,18.42,55.4,82,56,8.05
39,Ahipara,NZ,2020-05-23 00:22:29,-35.17,173.17,62.74,52,100,4.05
40,Albany,US,2020-05-23 00:22:25,42.6,-73.97,78.01,55,51,3.22
41,Dumas,US,2020-05-23 00:22:29,35.87,-101.97,88.0,15,1,10.29
42,Qaanaaq,GL,2020-05-23 00:22:30,77.48,-69.36,30.11,89,0,1.77
43,Saint-Philippe,RE,2020-05-23 00:22:30,-21.36,55.77,69.8,68,45,8.05
44,Little Current,CA,2020-05-23 00:22:30,45.98,-81.92,68.0,49,1,3.36
45,Merzifon,TR,2020-05-23 00:22:30,40.87,35.46,42.8,87,75,5.82
46,Panjab,AF,2020-05-23 00:22:30,34.39,67.02,46.17,55,74,3.56
47,Kalmunai,LK,2020-05-23 00:22:30,7.42,81.82,80.83,83,39,6.96
48,Flinders,AU,2020-05-23 00:18:38,-34.58,150.86,62.01,65,56,5.99
49,Kapaa,US,2020-05-23 00:22:31,22.08,-159.32,82.0,69,40,14.99
50,Marsa Matruh,EG,2020-05-23 00:22:31,31.35,27.25,68.0,72,40,6.93
51,Mar Del Plata,AR,2020-05-23 00:18:27,-38.0,-57.56,55.0,81,20,11.41
52,Port Hardy,CA,2020-05-23 00:22:31,50.7,-127.42,53.6,71,75,13.87
53,Ostrovnoy,RU,2020-05-23 00:22:32,68.05,39.51,30.85,95,0,6.93
54,Ouadda,CF,2020-05-23 00:22:32,8.08,22.4,69.01,90,82,2.26
55,Norman Wells,CA,2020-05-23 00:22:32,65.28,-126.83,62.6,66,40,11.41
56,Pimentel,PE,2020-05-23 00:22:32,-6.84,-79.93,65.48,82,45,12.59
57,Colquechaca,BO,2020-05-23 00:22:32,-18.67,-66.02,33.35,70,68,3.2
58,Salamiyah,SY,2020-05-23 00:22:33,35.01,37.05,65.43,75,97,25.72
59,Valky,UA,2020-05-23 00:22:33,49.84,35.62,36.66,95,7,6.33
60,Dzialdowo,PL,2020-05-23 00:22:33,53.24,20.17,40.77,82,60,4.23
61,Hofn,IS,2020-05-23 00:22:33,64.25,-15.21,46.15,71,100,23.8
62,Debre Tabor,ET,2020-05-23 00:22:34,11.85,38.02,55.42,93,100,2.15
63,Mbalmayo,CM,2020-05-23 00:22:34,3.52,11.5,71.6,100,75,4.7
64,Kodiak,US,2020-05-23 00:22:34,57.79,-152.41,48.2,81,75,5.82
65,Port Alfred,ZA,2020-05-23 00:22:34,-33.59,26.89,62.01,94,17,4.0
66,Sitka,US,2020-05-23 00:22:35,57.05,-135.33,50.0,76,90,13.87
67,Busselton,AU,2020-05-23 00:22:35,-33.65,115.33,55.0,48,92,12.68
68,Rocha,UY,2020-05-23 00:22:35,-34.48,-54.33,59.83,73,100,21.07
69,Havre-Saint-Pierre,CA,2020-05-23 00:22:35,50.23,-63.6,41.0,32,20,14.99
70,Upernavik,GL,2020-05-23 00:22:35,72.79,-56.15,29.64,97,1,9.01
71,Butaritari,KI,2020-05-23 00:22:36,3.07,172.79,82.78,81,4,13.02
72,Manokwari,ID,2020-05-23 00:22:36,-0.87,134.08,84.7,69,93,2.98
73,Torbay,CA,2020-05-23 00:22:36,47.67,-52.73,37.99,80,75,8.05
74,Tateyama,JP,2020-05-23 00:22:36,34.98,139.87,66.0,100,75,6.93
75,Barentu,ER,2020-05-23 00:22:36,15.11,37.59,82.47,44,5,1.48
76,Mehran,IR,2020-05-23 00:22:37,33.12,46.16,66.2,24,0,4.7
77,Zapolyarnyy,RU,2020-05-23 00:22:37,69.42,30.81,41.0,56,47,21.92
78,Sergeyevka,KZ,2020-05-23 00:22:37,53.88,67.42,57.72,94,99,12.46
79,Naguelguel,PH,2020-05-23 00:22:37,16.01,120.26,84.25,77,99,4.45
80,Pijijiapan,MX,2020-05-23 00:22:37,15.7,-93.23,85.77,63,5,5.5
81,Ulverstone,AU,2020-05-23 00:21:48,-41.15,146.17,45.0,95,0,3.33
82,Thompson,CA,2020-05-23 00:22:38,55.74,-97.86,44.6,81,90,5.82
83,Sinnar,SD,2020-05-23 00:22:38,13.57,33.57,86.32,51,35,18.59
84,Jamestown,US,2020-05-23 00:22:38,42.1,-79.24,63.0,93,90,3.29
85,Saskylakh,RU,2020-05-23 00:22:38,71.92,114.08,43.3,95,100,8.84
86,Saint George,US,2020-05-23 00:19:22,37.1,-113.58,84.99,10,1,31.09
87,Takoradi,GH,2020-05-23 00:22:39,4.88,-1.76,79.09,84,2,6.67
88,Broome,US,2020-05-23 00:22:39,42.25,-75.83,64.99,93,90,3.36
89,Paamiut,GL,2020-05-23 00:22:39,61.99,-49.67,38.39,78,100,18.48
90,Souillac,MU,2020-05-23 00:22:39,-20.52,57.52,73.4,73,40,12.75
91,Talnakh,RU,2020-05-23 00:22:39,69.49,88.4,60.8,44,1,4.47
92,Marfino,RU,2020-05-23 00:22:40,55.7,37.38,41.0,86,90,4.47
93,Ribeira Grande,PT,2020-05-23 00:22:40,38.52,-28.7,58.62,87,100,1.54
94,Santiago,CL,2020-05-23 00:21:58,-33.46,-70.65,53.6,54,43,5.82
95,Lorengau,PG,2020-05-23 00:22:40,-2.02,147.27,85.14,70,78,3.11
